Textbox201,Textbox215,Textbox219,Textbox223,Textbox199,Textbox217,Textbox203,Textbox209,Textbox221,,,,,,,,,,,,,,
INE,INE/TSP,CR-L1139,Road Infrastructure Program and promotion of Public-Private Partnerships (PPP),LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",665542,Artículo 7.03 (a),31510,4864/OC-CR,CID/CCR,FULFILLED,Financial,Informes de Auditoría Financiera Externa,30-Apr-25,27-May-25,30-Apr-25,30-Apr-25,-27,-392
INE,INE/TSP,CR-L1139,Road Infrastructure Program and promotion of Public-Private Partnerships (PPP),LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",701680,cláusula 4.07,31510,4864/OC-CR,CID/CCR,FULFILLED,Sectorial,Mantenimiento: Reporte de Vigencia y estado de planes de mantenimiento de las obras.,22-Jan-26,12-May-26,31-Mar-26,31-Mar-26,-42,-57
INE,INE/TSP,CR-L1139,Road Infrastructure Program and promotion of Public-Private Partnerships (PPP),LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",701681,cláusula 4.07,31510,4864/OC-CR,CID/CCR,TRACK,Sectorial,Mantenimiento: Reporte de Vigencia y estado de planes de mantenimiento de las obras.,,,31-Mar-27,31-Mar-27,,308
INE,INE/TSP,CR-L1139,Road Infrastructure Program and promotion of Public-Private Partnerships (PPP),LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",661984,cláusula 4.07,31510,4864/OC-CR,CID/CCR,FULFILLED,Sectorial,Mantenimiento: Reporte de Vigencia y estado de planes de mantenimiento de las obras.,25-Jun-21,1-Sep-21,31-Mar-21,31-Mar-21,-154,-1883
INE,INE/TSP,CR-L1139,Road Infrastructure Program and promotion of Public-Private Partnerships (PPP),LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",661987,cláusula 4.07,31510,4864/OC-CR,CID/CCR,FULFILLED,Sectorial,Mantenimiento: Reporte de Vigencia y estado de planes de mantenimiento de las obras.,10-Oct-24,25-Oct-24,31-Mar-24,31-Mar-24,-208,-787
INE,INE/TSP,CR-L1139,Road Infrastructure Program and promotion of Public-Private Partnerships (PPP),LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",661988,cláusula 4.07,31510,4864/OC-CR,CID/CCR,FULFILLED,Sectorial,Mantenimiento: Reporte de Vigencia y estado de planes de mantenimiento de las obras.,28-Apr-25,11-Dec-25,31-Mar-25,31-Mar-25,-255,-422
INE,INE/TSP,CR-L1139,Road Infrastructure Program and promotion of Public-Private Partnerships (PPP),LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",662001,Cláusula 5.01,31510,4864/OC-CR,CID/CCR,TRACK,Sectorial,Informe Final de evaluación de Resultados de Préstamo,,,29-Nov-25,29-Nov-27,,551
INE,INE/TSP,CR-L1139,Road Infrastructure Program and promotion of Public-Private Partnerships (PPP),LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",661992,Cláusula 5.01 (c) - S1,31510,4864/OC-CR,CID/CCR,FULFILLED,Sectorial,Informes semestrales de progreso,29-Aug-22,13-Nov-22,15-Aug-22,15-Aug-22,-90,-1381
INE,INE/TSP,CR-L1139,Road Infrastructure Program and promotion of Public-Private Partnerships (PPP),LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",661997,Cláusula 5.01 (c) - S1,31510,4864/OC-CR,CID/CCR,FULFILLED,Sectorial,Informes semestrales de progreso,1-Mar-25,2-Apr-25,15-Feb-25,15-Feb-25,-46,-466
INE,INE/TSP,CR-L1139,Road Infrastructure Program and promotion of Public-Private Partnerships (PPP),LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",661994,Cláusula 5.01 (c) - S1,31510,4864/OC-CR,CID/CCR,FULFILLED,Sectorial,Informes semestrales de progreso,15-Aug-23,31-Jan-24,15-Aug-23,15-Aug-23,-169,-1016
INE,INE/TSP,CR-L1139,Road Infrastructure Program and promotion of Public-Private Partnerships (PPP),LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",661993,Cláusula 5.01 (c) - S1,31510,4864/OC-CR,CID/CCR,FULFILLED,Sectorial,Informes semestrales de progreso,15-Feb-23,31-Jan-24,15-Feb-23,15-Feb-23,-350,-1197
INE,INE/TSP,CR-L1139,Road Infrastructure Program and promotion of Public-Private Partnerships (PPP),LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",661990,Cláusula 5.01 (c) - S1,31510,4864/OC-CR,CID/CCR,FULFILLED,Sectorial,Informes semestrales de progreso,24-Sep-21,18-Nov-21,15-Aug-21,15-Aug-21,-95,-1746
INE,INE/TSP,CR-L1139,Road Infrastructure Program and promotion of Public-Private Partnerships (PPP),LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",661989,Cláusula 5.01 (c) - S1,31510,4864/OC-CR,CID/CCR,FULFILLED,Sectorial,Informes semestrales de progreso,11-Jun-21,24-Jun-21,15-Feb-21,15-Feb-21,-129,-1927
INE,INE/TSP,CR-L1139,Road Infrastructure Program and promotion of Public-Private Partnerships (PPP),LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",661991,Cláusula 5.01 (c) - S1,31510,4864/OC-CR,CID/CCR,FULFILLED,Sectorial,Informes semestrales de progreso,23-Feb-22,7-Apr-22,15-Feb-22,15-Feb-22,-51,-1562
INE,INE/TSP,CR-L1139,Road Infrastructure Program and promotion of Public-Private Partnerships (PPP),LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",661998,Cláusula 5.01 (c) - S1,31510,4864/OC-CR,CID/CCR,FULFILLED,Sectorial,Informes semestrales de progreso,31-Aug-25,18-Sep-25,15-Aug-25,15-Aug-25,-34,-285
INE,INE/TSP,CR-L1139,Road Infrastructure Program and promotion of Public-Private Partnerships (PPP),LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",661996,Cláusula 5.01 (c) - S1,31510,4864/OC-CR,CID/CCR,FULFILLED,Sectorial,Informes semestrales de progreso,1-Sep-24,25-Oct-24,15-Aug-24,15-Aug-24,-71,-650
INE,INE/TSP,CR-L1139,Road Infrastructure Program and promotion of Public-Private Partnerships (PPP),LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",661995,Cláusula 5.01 (c) - S1,31510,4864/OC-CR,CID/CCR,FULFILLED,Sectorial,Informes semestrales de progreso,24-Apr-24,13-Sep-24,15-Feb-24,15-Feb-24,-211,-832
INE,INE/TSP,CR-L1139,Road Infrastructure Program and promotion of Public-Private Partnerships (PPP),LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",662000,Cláusula 5.01 (e),31510,4864/OC-CR,CID/CCR,FULFILLED,Sectorial,Evaluación intermedia de resultados del Préstamo,17-Feb-25,24-Feb-25,29-Mar-23,15-Aug-24,-193,-650
INE,INE/TSP,CR-L1151,Road Infrastructure and Urban Mobility Program: resilient connectivity,LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",689278,2.04,35198,5823/OC-CR,CID/CCR,TRACK,Financial,Last Disbursement / Plazo último desembolso,,,10-Jan-29,10-Jan-29,,959
INE,INE/TSP,CR-L1151,Road Infrastructure and Urban Mobility Program: resilient connectivity,LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",689283,3.01.i,35198,5823/OC-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Plan de Adquisiciones prediales a satisfacción del Banco,3-Apr-24,22-Apr-24,5-Jul-24,5-Jul-24,74,-691
INE,INE/TSP,CR-L1151,Road Infrastructure and Urban Mobility Program: resilient connectivity,LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",689284,3.01.ii,35198,5823/OC-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Conformación de la Unidad Ejecutora,3-Apr-24,2-May-24,5-Jul-24,5-Jul-24,64,-691
INE,INE/TSP,CR-L1151,Road Infrastructure and Urban Mobility Program: resilient connectivity,LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",689285,3.01.iii,35198,5823/OC-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Borrador de pliegos para Licitación de la firma supervisora con No Objeción del Banco,5-Jul-24,8-Jul-24,5-Jul-24,8-Jul-24,0,-688
INE,INE/TSP,CR-L1151,Road Infrastructure and Urban Mobility Program: resilient connectivity,LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",689286,3.01.iv,35198,5823/OC-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Reglamento Operativo y herramientas de gestión,2-Jul-24,3-Jul-24,5-Jul-24,5-Jul-24,2,-691
INE,INE/TSP,CR-L1151,Road Infrastructure and Urban Mobility Program: resilient connectivity,LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",689287,3.01.v,35198,5823/OC-CR,CID/CCR,FULFILLED,Financial Prior Condition,Contratación del Gestor financiero,5-Jul-24,8-Jul-24,5-Jul-24,8-Jul-24,0,-688
INE,INE/TSP,CR-L1151,Road Infrastructure and Urban Mobility Program: resilient connectivity,LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",689279,4.01 (a),35198,5823/OC-CR,CID/CCR,FULFILLED,Legal Report,Informe Juridico,3-Apr-24,12-Jun-24,8-Jul-24,8-Jul-24,26,-688
INE,INE/TSP,CR-L1151,Road Infrastructure and Urban Mobility Program: resilient connectivity,LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",689280,4.01 (b),35198,5823/OC-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Designación de firmas autorizadas para desembolsos,22-Apr-24,2-May-24,8-Jul-24,8-Jul-24,67,-688
INE,INE/TSP,CR-L1151,Road Infrastructure and Urban Mobility Program: resilient connectivity,LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",689281,4.01 (c),35198,5823/OC-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Información sobre la cuenta Bancaria,3-Apr-24,22-Apr-24,8-Jul-24,8-Jul-24,77,-688
INE,INE/TSP,CR-L1151,Road Infrastructure and Urban Mobility Program: resilient connectivity,LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",689282,4.01 (d),35198,5823/OC-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Sistema de información financiera y control interno,7-Jun-24,10-Jun-24,8-Jul-24,8-Jul-24,28,-688
INE,INE/TSP,CR-L1151,Road Infrastructure and Urban Mobility Program: resilient connectivity,LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",705317,4.08 (b),35198,5823/OC-CR,CID/CCR,TRACK,Sectorial,Informe de Planes de Mantenimiento,,,31-Mar-28,31-Mar-28,,674
INE,INE/TSP,CR-L1151,Road Infrastructure and Urban Mobility Program: resilient connectivity,LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",705316,4.08 (b),35198,5823/OC-CR,CID/CCR,TRACK,Sectorial,Informe de Planes de Mantenimiento,,,31-Mar-27,31-Mar-27,,308
INE,INE/TSP,CR-L1151,Road Infrastructure and Urban Mobility Program: resilient connectivity,LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",705315,4.08 (b),35198,5823/OC-CR,CID/CCR,FULFILLED,Sectorial,Informe de Planes de Mantenimiento,27-Feb-26,31-Mar-26,31-Mar-26,31-Mar-26,0,-57
INE,INE/TSP,CR-L1151,Road Infrastructure and Urban Mobility Program: resilient connectivity,LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",692681,5.01 (c) y 7.02,35198,5823/OC-CR,CID/CCR,FULFILLED,Sectorial,Informes semestrales de progreso,18-Aug-25,11-Nov-25,15-Sep-25,15-Sep-25,-57,-254
INE,INE/TSP,CR-L1151,Road Infrastructure and Urban Mobility Program: resilient connectivity,LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",692688,5.01 (c) y 7.02,35198,5823/OC-CR,CID/CCR,TRACK,Sectorial,Informes semestrales de progreso,,,15-Mar-29,15-Mar-29,,1023
INE,INE/TSP,CR-L1151,Road Infrastructure and Urban Mobility Program: resilient connectivity,LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",692687,5.01 (c) y 7.02,35198,5823/OC-CR,CID/CCR,TRACK,Sectorial,Informes semestrales de progreso,,,15-Sep-28,15-Sep-28,,842
INE,INE/TSP,CR-L1151,Road Infrastructure and Urban Mobility Program: resilient connectivity,LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",692682,5.01 (c) y 7.02,35198,5823/OC-CR,CID/CCR,FULFILLED,Sectorial,Informes semestrales de progreso,26-Feb-26,31-Mar-26,15-Mar-26,15-Mar-26,-16,-73
INE,INE/TSP,CR-L1151,Road Infrastructure and Urban Mobility Program: resilient connectivity,LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",692679,5.01 (c) y 7.02,35198,5823/OC-CR,CID/CCR,FULFILLED,Sectorial,Informes semestrales de progreso,4-Sep-24,16-Sep-24,15-Sep-24,15-Sep-24,-1,-619
INE,INE/TSP,CR-L1151,Road Infrastructure and Urban Mobility Program: resilient connectivity,LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",692684,5.01 (c) y 7.02,35198,5823/OC-CR,CID/CCR,TRACK,Sectorial,Informes semestrales de progreso,,,15-Mar-27,15-Mar-27,,292
INE,INE/TSP,CR-L1151,Road Infrastructure and Urban Mobility Program: resilient connectivity,LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",692680,5.01 (c) y 7.02,35198,5823/OC-CR,CID/CCR,FULFILLED,Sectorial,Informes semestrales de progreso,3-Mar-25,27-Mar-25,15-Mar-25,15-Mar-25,-12,-438
INE,INE/TSP,CR-L1151,Road Infrastructure and Urban Mobility Program: resilient connectivity,LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",692686,5.01 (c) y 7.02,35198,5823/OC-CR,CID/CCR,TRACK,Sectorial,Informes semestrales de progreso,,,15-Mar-28,15-Mar-28,,658
INE,INE/TSP,CR-L1151,Road Infrastructure and Urban Mobility Program: resilient connectivity,LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",692683,5.01 (c) y 7.02,35198,5823/OC-CR,CID/CCR,TRACK,Sectorial,Informes semestrales de progreso,,,15-Sep-26,15-Sep-26,,111
INE,INE/TSP,CR-L1151,Road Infrastructure and Urban Mobility Program: resilient connectivity,LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",692685,5.01 (c) y 7.02,35198,5823/OC-CR,CID/CCR,TRACK,Sectorial,Informes semestrales de progreso,,,15-Sep-27,15-Sep-27,,476
INE,INE/TSP,CR-L1151,Road Infrastructure and Urban Mobility Program: resilient connectivity,LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",705319,5.02 (a),35198,5823/OC-CR,CID/CCR,TRACK,Financial,Informe Final Estados Financieros Auditados del Programa,,,10-May-29,10-May-29,,1079
INE,INE/TSP,CR-L1151,Road Infrastructure and Urban Mobility Program: resilient connectivity,LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",692690,5.02 y 7.03 (a),35198,5823/OC-CR,CID/CCR,TRACK,Financial,Informes de Auditoría Financiera Externa,,,30-Apr-26,30-Apr-26,,-27
INE,INE/TSP,CR-L1151,Road Infrastructure and Urban Mobility Program: resilient connectivity,LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",692691,5.02 y 7.03 (a),35198,5823/OC-CR,CID/CCR,TRACK,Financial,Informes de Auditoría Financiera Externa,,,30-Apr-27,30-Apr-27,,338
INE,INE/TSP,CR-L1151,Road Infrastructure and Urban Mobility Program: resilient connectivity,LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",692693,5.02 y 7.03 (a),35198,5823/OC-CR,CID/CCR,TRACK,Financial,Informes de Auditoría Financiera Externa,,,30-Apr-29,30-Apr-29,,1069
INE,INE/TSP,CR-L1151,Road Infrastructure and Urban Mobility Program: resilient connectivity,LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",692692,5.02 y 7.03 (a),35198,5823/OC-CR,CID/CCR,TRACK,Financial,Informes de Auditoría Financiera Externa,,,30-Apr-28,30-Apr-28,,704
INE,INE/TSP,CR-L1151,Road Infrastructure and Urban Mobility Program: resilient connectivity,LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",692694,5.03 (a),35198,5823/OC-CR,CID/CCR,TRACK,Sectorial,Informe de evaluación Intermedia,,,11-Jul-26,11-Jul-26,,45
INE,INE/TSP,CR-L1151,Road Infrastructure and Urban Mobility Program: resilient connectivity,LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",705318,5.03 (b),35198,5823/OC-CR,CID/CCR,TRACK,Sectorial,Informe Evaluación Final de los Resultados del Programa,,,10-May-29,10-May-29,,1079
INE,INE/TSP,CR-T1285,Strengthening Operational and Institutional Aspects of the Transportation Sector in Costa Rica,TCP,,,DI,"ANSALDO, MARIANO PEDRO",695140,Eligibility Condition,36382,ATN/OC-21455-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Condition for Eligibility,7-Jan-25,9-Jan-25,12-Mar-25,12-Mar-25,62,-441
INE,INE/TSP,CR-T1285,Strengthening Operational and Institutional Aspects of the Transportation Sector in Costa Rica,TCP,,,DI,"ANSALDO, MARIANO PEDRO",695137,Final Disbursement,36382,ATN/OC-21455-CR,CID/CCR,TRACK,Financial,Final Disbursement Clause.,,,12-Dec-26,12-Dec-26,,199
INE,INE/TSP,CR-T1302,Strengthening capacities to promote resilience and environmental sustainability in the transport sector,TCP,,,DI,"ANSALDO, MARIANO PEDRO",702323,Elegibility Condition,37083,ATN/OC-22028-CR,CID/CCR,FULFILLED,Sectorial,Condition for Eligibility,27-Oct-25,27-Oct-25,27-Dec-25,27-Dec-25,61,-151
INE,INE/TSP,CR-T1302,Strengthening capacities to promote resilience and environmental sustainability in the transport sector,TCP,,,DI,"ANSALDO, MARIANO PEDRO",702342,Eligibility Condition,37083,ATN/OC-22028-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Condition for Eligibility,28-Oct-25,28-Oct-25,23-Jan-26,23-Jan-26,87,-124
INE,INE/TSP,CR-T1302,Strengthening capacities to promote resilience and environmental sustainability in the transport sector,TCP,,,DI,"ANSALDO, MARIANO PEDRO",702322,Final Disbursement,37083,ATN/OC-22028-CR,CID/CCR,TRACK,Financial,Last Disbursement / Plazo último desembolso,,,23-Oct-27,23-Oct-27,,514
INE,INE/TSP,CR-T1303,Support for the action development and implementation of the Building Information Modelling (BIM) roadmap for Costa Rica,TCP,,,DI,"ANSALDO, MARIANO PEDRO",700498,Eligibility Condition,36786,ATN/OC-21778-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Condition for Eligibility,8-Aug-25,8-Aug-25,24-Oct-25,24-Oct-25,77,-215
INE,INE/TSP,CR-T1303,Support for the action development and implementation of the Building Information Modelling (BIM) roadmap for Costa Rica,TCP,,,DI,"ANSALDO, MARIANO PEDRO",700495,Final Disbursement,36786,ATN/OC-21778-CR,CID/CCR,TRACK,Financial,Final Disbursement Clause.,,,24-Jul-27,24-Jul-27,,423
INE,INE/WSA,CR-G1008,Support the rural component of the Water and Sanitation Program and the fulfillment of Sustainable Development Goal 6 through pilot projects in Costa Rica,IGR,,,DI,"ORTIZ STRADTMANN, SILVIA",705011,2.04,36949,ATN/WS-21927-CR,CID/CCR,TRACK,Financial,Last Disbursement / Plazo último desembolso,,,12-Nov-28,12-Nov-28,,900
INE,INE/WSA,CR-G1008,Support the rural component of the Water and Sanitation Program and the fulfillment of Sustainable Development Goal 6 through pilot projects in Costa Rica,IGR,,,DI,"ORTIZ STRADTMANN, SILVIA",705416,3.01,36949,ATN/WS-21927-CR,CID/CCR,FULFILLED,Financial Prior Condition,Disponibilidad de recursos del Fondo Español de Agua y Saneamiento para realizar el desembolso.,3-Mar-26,28-Apr-26,12-May-26,12-May-26,14,-15
INE,INE/WSA,CR-G1008,Support the rural component of the Water and Sanitation Program and the fulfillment of Sustainable Development Goal 6 through pilot projects in Costa Rica,IGR,,,DI,"ORTIZ STRADTMANN, SILVIA",705415,3.02(a),36949,ATN/WS-21927-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Aprobación y entrada en vigencia del Reglamento Operativo del Programa,27-Apr-26,28-Apr-26,12-May-26,12-May-26,14,-15
INE,INE/WSA,CR-G1008,Support the rural component of the Water and Sanitation Program and the fulfillment of Sustainable Development Goal 6 through pilot projects in Costa Rica,IGR,,,DI,"ORTIZ STRADTMANN, SILVIA",705410,3.02(b),36949,ATN/WS-21927-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Conformación del equipo de ejecución mínimo (coordinador general y especialista administrativo-financiero),24-Feb-26,28-Apr-26,12-May-26,12-May-26,14,-15
INE,INE/WSA,CR-G1008,Support the rural component of the Water and Sanitation Program and the fulfillment of Sustainable Development Goal 6 through pilot projects in Costa Rica,IGR,,,DI,"ORTIZ STRADTMANN, SILVIA",705014,5.02,36949,ATN/WS-21927-CR,CID/CCR,TRACK,Financial,Supervisión de la gestión financiera del Proyecto (Informe de Auditoría Financiera Externa),,,30-Apr-28,30-Apr-28,,704
INE,INE/WSA,CR-G1008,Support the rural component of the Water and Sanitation Program and the fulfillment of Sustainable Development Goal 6 through pilot projects in Costa Rica,IGR,,,DI,"ORTIZ STRADTMANN, SILVIA",705013,5.02,36949,ATN/WS-21927-CR,CID/CCR,TRACK,Financial,Supervisión de la gestión financiera del Proyecto (Informe de Auditoría Financiera Externa),,,30-Apr-27,30-Apr-27,,338
INE,INE/WSA,CR-G1008,Support the rural component of the Water and Sanitation Program and the fulfillment of Sustainable Development Goal 6 through pilot projects in Costa Rica,IGR,,,DI,"ORTIZ STRADTMANN, SILVIA",705012,5.02,36949,ATN/WS-21927-CR,CID/CCR,TRACK,Financial,Supervisión de la gestión financiera del Proyecto (Informe de Auditoría Financiera Externa),,,12-Mar-29,12-Mar-29,,1020
INE,INE/WSA,CR-G1008,Support the rural component of the Water and Sanitation Program and the fulfillment of Sustainable Development Goal 6 through pilot projects in Costa Rica,IGR,,,DI,"ORTIZ STRADTMANN, SILVIA",705412,Artículo 3.01(a),36949,ATN/WS-21927-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Informe(s) jurídicos que validen las obligaciones del Beneficiario.,24-Feb-26,28-Apr-26,12-May-26,12-May-26,14,-15
INE,INE/WSA,CR-G1008,Support the rural component of the Water and Sanitation Program and the fulfillment of Sustainable Development Goal 6 through pilot projects in Costa Rica,IGR,,,DI,"ORTIZ STRADTMANN, SILVIA",705411,Artículo 3.01(b),36949,ATN/WS-21927-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Designación de funcionarios autorizados para solicitar desembolsos y envío de firmas.,24-Feb-26,28-Apr-26,12-May-26,12-May-26,14,-15
INE,INE/WSA,CR-G1008,Support the rural component of the Water and Sanitation Program and the fulfillment of Sustainable Development Goal 6 through pilot projects in Costa Rica,IGR,,,DI,"ORTIZ STRADTMANN, SILVIA",705413,Artículo 3.01(c),36949,ATN/WS-21927-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Información de la cuenta bancaria donde se depositarán los desembolsos.,24-Feb-26,28-Apr-26,12-May-26,12-May-26,14,-15
INE,INE/WSA,CR-G1008,Support the rural component of the Water and Sanitation Program and the fulfillment of Sustainable Development Goal 6 through pilot projects in Costa Rica,IGR,,,DI,"ORTIZ STRADTMANN, SILVIA",705414,Artículo 3.01(d),36949,ATN/WS-21927-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Demostración de un sistema de información financiera y control interno adecuado.,27-Apr-26,28-Apr-26,12-May-26,12-May-26,14,-15
MIF,MIF/MIF,CR-G1010,Circular Economy from Agroforestry Residues for Decarbonization,IGR,,MIF,DI,"ERNEST MONDOL, WILLIAM",678753,13,34336,GRC/ME-19739-CR,CID/CCR,FULFILLED,Financial,Estados Financieros Auditados,17-May-24,17-Jun-24,31-Mar-24,31-Mar-24,-78,-787
MIF,MIF/MIF,CR-G1010,Circular Economy from Agroforestry Residues for Decarbonization,IGR,,MIF,DI,"ERNEST MONDOL, WILLIAM",678754,13,34336,GRC/ME-19739-CR,CID/CCR,FULFILLED,Financial,Estados Financieros Auditados,15-Jul-25,7-Aug-25,31-Mar-25,31-Mar-25,-129,-422
MIF,MIF/MIF,CR-G1010,Circular Economy from Agroforestry Residues for Decarbonization,IGR,,MIF,DI,"ERNEST MONDOL, WILLIAM",678751,4a.,34336,GRC/ME-19739-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Condiciones previas al primer desembolso,8-Feb-23,20-Feb-23,10-Jul-23,10-Jul-23,140,-1052
MIF,MIF/MIF,CR-G1010,Circular Economy from Agroforestry Residues for Decarbonization,IGR,,MIF,DI,"ERNEST MONDOL, WILLIAM",678750,IV.,34336,GRC/ME-19739-CR,CID/CCR,TRACK,Financial,Last Disbursement / Plazo último desembolso,,,10-Jan-26,10-Jan-26,,-137
MIF,MIF/MIF,CR-G1010,Circular Economy from Agroforestry Residues for Decarbonization,IGR,,MIF,DI,"ERNEST MONDOL, WILLIAM",681560,VI. 6.2,34336,GRC/ME-19739-CR,CID/CCR,TRACK,Financial,Contingent: Ventas brutas anuales,,,15-Apr-30,15-Apr-30,,1419
MIF,MIF/MIF,CR-G1010,Circular Economy from Agroforestry Residues for Decarbonization,IGR,,MIF,DI,"ERNEST MONDOL, WILLIAM",681554,VI. 6.2,34336,GRC/ME-19739-CR,CID/CCR,TRACK,Financial,Contingent: Ventas brutas anuales,,,15-Apr-27,15-Apr-27,,323
MIF,MIF/MIF,CR-G1010,Circular Economy from Agroforestry Residues for Decarbonization,IGR,,MIF,DI,"ERNEST MONDOL, WILLIAM",681557,VI. 6.2,34336,GRC/ME-19739-CR,CID/CCR,TRACK,Financial,Contingent: Ventas brutas anuales,,,15-Oct-28,15-Oct-28,,872
MIF,MIF/MIF,CR-G1010,Circular Economy from Agroforestry Residues for Decarbonization,IGR,,MIF,DI,"ERNEST MONDOL, WILLIAM",681558,VI. 6.2,34336,GRC/ME-19739-CR,CID/CCR,TRACK,Financial,Contingent: Ventas brutas anuales,,,15-Apr-29,15-Apr-29,,1054
MIF,MIF/MIF,CR-G1010,Circular Economy from Agroforestry Residues for Decarbonization,IGR,,MIF,DI,"ERNEST MONDOL, WILLIAM",681555,VI. 6.2,34336,GRC/ME-19739-CR,CID/CCR,TRACK,Financial,Contingent: Ventas brutas anuales,,,15-Oct-27,15-Oct-27,,506
MIF,MIF/MIF,CR-G1010,Circular Economy from Agroforestry Residues for Decarbonization,IGR,,MIF,DI,"ERNEST MONDOL, WILLIAM",681559,VI. 6.2,34336,GRC/ME-19739-CR,CID/CCR,TRACK,Financial,Contingent: Ventas brutas anuales,,,15-Oct-29,15-Oct-29,,1237
MIF,MIF/MIF,CR-G1010,Circular Economy from Agroforestry Residues for Decarbonization,IGR,,MIF,DI,"ERNEST MONDOL, WILLIAM",681561,VI. 6.2,34336,GRC/ME-19739-CR,CID/CCR,TRACK,Financial,Contingent: Ventas brutas anuales,,,15-Oct-30,15-Oct-30,,1602
MIF,MIF/MIF,CR-G1010,Circular Economy from Agroforestry Residues for Decarbonization,IGR,,MIF,DI,"ERNEST MONDOL, WILLIAM",681553,VI. 6.2,34336,GRC/ME-19739-CR,CID/CCR,TRACK,Financial,Contingent: Ventas brutas anuales,,,15-Oct-26,15-Oct-26,,141
MIF,MIF/MIF,CR-G1010,Circular Economy from Agroforestry Residues for Decarbonization,IGR,,MIF,DI,"ERNEST MONDOL, WILLIAM",681556,VI. 6.2,34336,GRC/ME-19739-CR,CID/CCR,TRACK,Financial,Contingent: Ventas brutas anuales,,,15-Apr-28,15-Apr-28,,689
MIF,MIF/MIF,CR-G1010,Circular Economy from Agroforestry Residues for Decarbonization,IGR,,MIF,DI,"ERNEST MONDOL, WILLIAM",681552,VI. 6.2,34336,GRC/ME-19739-CR,CID/CCR,TRACK,Financial,Contingent: Ventas brutas anuales,,,15-Apr-26,15-Apr-26,,-42
